email_id,fecha_raw,asunto_raw,remitente,zona,texto_mail,thread_id
1,2025/01/07,Entrega tarde otra vez,usuario@yahoo.com,Tigre,"Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente.",1001
2,2025-01-09 00:00,Re: Pedido incompleto,cliente@gmail.com,Tigre,"Aguardo solución urgente. Buenas, escribo para reclamar por un problema con mi pedido.",1001
3,"Jun 16, 2025",MAL SERVICIO,usuario@yahoo.com,San Miguel,"Espero una pronta respuesta. Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio. No es la primera vez que pasa esto.",1002
4,13/03/25,Cobro incorrecto,usuario@yahoo.com,San Martín,"Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio.",1003
5,2025/04/02,Entrega tarde otra vez,reclamos@hotmail.com,Vicente López,"Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto. Aguardo solución urgente.",1004
6,2025/06/10,Error en la factura,usuario@yahoo.com,San Isidro,No es la primera vez que pasa esto. Espero una pronta respuesta.,1005
7,2025-03-01 00:00,Demora en entrega,cliente123@outlook.com,Escobar,Espero una pronta respuesta. No es la primera vez que pasa esto. Muy mal servicio.,1006
8,2025/02/23,Reclamo por cobro,cliente@gmail.com,San Fernando,No es la primera vez que pasa esto. Aguardo solución urgente. Muy mal servicio. Espero una pronta respuesta.,1007
9,13/06/25,Problema con el repartidor,reclamos@hotmail.com,Vicente López,"Buenas, escribo para reclamar por un problema con mi pedido. Espero una pronta respuesta.",1008
10,2025-03-10 00:00,No recibí mi pedido,usuario@yahoo.com,San Martín,Muy mal servicio. Aguardo solución urgente.,1009
11,2025/02/06,Demora nuevamente,usuario@yahoo.com,Tigre,Aguardo solución urgente. Espero una pronta respuesta. Muy mal servicio. No es la primera vez que pasa esto.,1010
12,03/04/25,No recibí mi pedido,usuario@yahoo.com,José C. Paz,"Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente. Muy mal servicio.",1011
13,10/06/25,Re: Re: falta producto,cliente123@outlook.com,San Isidro,Muy mal servicio. Aguardo solución urgente. Espero una pronta respuesta.,1011
14,2025-05-22 00:00,Problema con el repartidor,cliente@gmail.com,José C. Paz,"Espero una pronta respuesta. Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto.",1012
15,"Feb 10, 2025",Re: Pedido incompleto,cliente@gmail.com,Escobar,"No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido. Espero una pronta respuesta. Aguardo solución urgente.",1012
16,2025/02/09,MAL SERVICIO,usuario@yahoo.com,José C. Paz,"Buenas, escribo para reclamar por un problema con mi pedido. Espero una pronta respuesta. No es la primera vez que pasa esto. Aguardo solución urgente.",1013
17,2025/04/03,Entrega tarde otra vez,usuario@yahoo.com,Vicente López,"Aguardo solución urgente. Buenas, escribo para reclamar por un problema con mi pedido.",1014
18,2025-05-05 00:00,Demora en entrega,usuario@yahoo.com,San Fernando,Muy mal servicio. No es la primera vez que pasa esto. Aguardo solución urgente. Espero una pronta respuesta.,1015
19,19/05/25,MAL SERVICIO,reclamos@hotmail.com,Malvinas Argentinas,Espero una pronta respuesta. Muy mal servicio. Aguardo solución urgente. No es la primera vez que pasa esto.,1016
20,05/03/25,Entrega tarde otra vez,cliente@gmail.com,San Martín,Aguardo solución urgente. No es la primera vez que pasa esto.,1017
21,2025-01-02 00:00,Queja repartidor,cliente@gmail.com,Tigre,"Buenas, escribo para reclamar por un problema con mi pedido. Espero una pronta respuesta.",1018
22,12/05/25,Demora en entrega,reclamos@hotmail.com,San Miguel,Aguardo solución urgente. No es la primera vez que pasa esto.,1019
23,"Mar 04, 2025",Servicio pésimo,cliente123@outlook.com,Tigre,"Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio.",1020
24,"Apr 19, 2025",Reclamo por cobro,cliente123@outlook.com,Vicente López,"Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente. No es la primera vez que pasa esto. Espero una pronta respuesta.",1021
25,05/03/25,Entrega tarde otra vez,usuario@yahoo.com,José C. Paz,"No es la primera vez que pasa esto. Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido.",1022
26,29/04/25,Problema con el repartidor,cliente@gmail.com,San Miguel,"Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente. Espero una pronta respuesta. Muy mal servicio.",1023
27,02/03/25,Demora en entrega,cliente123@outlook.com,San Miguel,"No es la primera vez que pasa esto. Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido.",1024
28,2025-04-08 00:00,Pedido incompleto,cliente123@outlook.com,Escobar,Espero una pronta respuesta. Muy mal servicio. Aguardo solución urgente.,1025
29,09/02/25,Servicio pésimo,reclamos@hotmail.com,Tigre,"Aguardo solución urgente. Buenas, escribo para reclamar por un problema con mi pedido.",1026
30,2025-01-15 00:00,Cobro incorrecto,cliente123@outlook.com,José C. Paz,"No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido. Espero una pronta respuesta. Muy mal servicio.",1027
31,2025-01-18 00:00,Pedido incompleto,usuario@yahoo.com,Malvinas Argentinas,Aguardo solución urgente. No es la primera vez que pasa esto.,1028
32,2025-06-08 00:00,Pedido NO entregado!!!,cliente123@outlook.com,José C. Paz,Espero una pronta respuesta. No es la primera vez que pasa esto. Aguardo solución urgente.,1029
33,2025/03/03,Cobro incorrecto,cliente123@outlook.com,San Fernando,"Espero una pronta respuesta. Muy mal servicio. No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido.",1030
34,2025-04-28 00:00,RECLAMO pedido no llego,cliente@gmail.com,José C. Paz,Aguardo solución urgente. Espero una pronta respuesta.,1031
35,2025-03-31 00:00,Re: Re: falta producto,usuario@yahoo.com,San Martín,No es la primera vez que pasa esto. Muy mal servicio. Espero una pronta respuesta.,1031
36,2025-06-06 00:00,Error en la factura,reclamos@hotmail.com,San Isidro,"Espero una pronta respuesta. Buenas, escribo para reclamar por un problema con mi pedido.",1032
37,22/05/25,Entrega tarde otra vez,reclamos@hotmail.com,Escobar,"No es la primera vez que pasa esto. Espero una pronta respuesta. Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente.",1033
38,2025-03-06 00:00,Servicio pésimo,cliente@gmail.com,Malvinas Argentinas,"Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente. No es la primera vez que pasa esto.",1034
39,2025/06/13,Re: Re: falta producto,usuario@yahoo.com,San Miguel,"Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente. Espero una pronta respuesta.",1034
40,2025-05-20 00:00,Re: Re: falta producto,reclamos@hotmail.com,José C. Paz,Muy mal servicio. No es la primera vez que pasa esto.,1034
41,2025/03/20,Pedido NO entregado!!!,cliente@gmail.com,San Martín,"No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido.",1035
42,"May 24, 2025",Reclamo por cobro,usuario@yahoo.com,Tigre,No es la primera vez que pasa esto. Muy mal servicio.,1036
43,2025/02/15,RECLAMO pedido no llego,cliente123@outlook.com,Tigre,"No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente.",1037
44,01/05/25,Pedido NO entregado!!!,usuario@yahoo.com,San Miguel,"Espero una pronta respuesta. No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido.",1038
45,18/06/25,RECLAMO pedido no llego,cliente123@outlook.com,San Martín,"Buenas, escribo para reclamar por un problema con mi pedido. Espero una pronta respuesta. No es la primera vez que pasa esto.",1039
46,2025/06/23,No recibí mi pedido,cliente@gmail.com,San Isidro,"No es la primera vez que pasa esto. Espero una pronta respuesta. Buenas, escribo para reclamar por un problema con mi pedido.",1040
47,"Jun 02, 2025",Entrega tarde otra vez,reclamos@hotmail.com,San Martín,"Aguardo solución urgente. Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto.",1041
48,2025-03-07 00:00,MAL SERVICIO,cliente123@outlook.com,Vicente López,Aguardo solución urgente. No es la primera vez que pasa esto. Muy mal servicio. Espero una pronta respuesta.,1042
49,2025/06/20,Demora en entrega,reclamos@hotmail.com,San Isidro,Espero una pronta respuesta. Aguardo solución urgente. Muy mal servicio. No es la primera vez que pasa esto.,1043
50,2025/04/14,Cobro incorrecto,usuario@yahoo.com,Tigre,Muy mal servicio. No es la primera vez que pasa esto. Espero una pronta respuesta.,1044
51,2025-04-14 00:00,Error en la factura,reclamos@hotmail.com,Escobar,Muy mal servicio. Espero una pronta respuesta.,1045
52,"Apr 24, 2025",Demora nuevamente,usuario@yahoo.com,José C. Paz,"No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente.",1046
53,24/01/25,Cobro incorrecto,reclamos@hotmail.com,Tigre,"No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido.",1047
54,"Mar 04, 2025",Pedido NO entregado!!!,cliente@gmail.com,San Miguel,Aguardo solución urgente. No es la primera vez que pasa esto. Espero una pronta respuesta.,1048
55,"May 07, 2025",No recibí mi pedido,usuario@yahoo.com,San Fernando,"Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente. No es la primera vez que pasa esto. Muy mal servicio.",1049
56,"Jun 28, 2025",Pedido incompleto,cliente@gmail.com,José C. Paz,"Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio.",1050
57,2025/04/29,Re: Re: falta producto,cliente123@outlook.com,José C. Paz,"Aguardo solución urgente. Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido.",1050
58,2025/04/26,Servicio pésimo,usuario@yahoo.com,Escobar,Muy mal servicio. No es la primera vez que pasa esto. Aguardo solución urgente. Espero una pronta respuesta.,1051
59,15/03/25,Demora en entrega,reclamos@hotmail.com,San Martín,"Aguardo solución urgente. Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio.",1052
60,"Mar 01, 2025",Re: Re: falta producto,usuario@yahoo.com,Tigre,Muy mal servicio. Aguardo solución urgente.,1052
61,"May 19, 2025",Cobro incorrecto,cliente123@outlook.com,Vicente López,Muy mal servicio. Aguardo solución urgente.,1053
62,"May 28, 2025",RECLAMO pedido no llego,cliente123@outlook.com,Vicente López,Espero una pronta respuesta. Muy mal servicio. No es la primera vez que pasa esto.,1054
63,05/05/25,Queja repartidor,reclamos@hotmail.com,Malvinas Argentinas,"Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio. No es la primera vez que pasa esto.",1055
64,"Feb 12, 2025",No recibí mi pedido,usuario@yahoo.com,José C. Paz,"Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido.",1056
65,"Jun 14, 2025",Demora en entrega,usuario@yahoo.com,San Miguel,"Buenas, escribo para reclamar por un problema con mi pedido. Espero una pronta respuesta.",1057
66,25/03/25,No recibí mi pedido,cliente123@outlook.com,San Martín,Muy mal servicio. Espero una pronta respuesta. No es la primera vez que pasa esto.,1058
67,"Jan 21, 2025",Problema con el repartidor,cliente@gmail.com,José C. Paz,Espero una pronta respuesta. No es la primera vez que pasa esto.,1059
68,2025-06-16 00:00,Demora en entrega,cliente@gmail.com,Tigre,"Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto.",1060
69,"Feb 02, 2025",Queja repartidor,cliente@gmail.com,Tigre,"Espero una pronta respuesta. Aguardo solución urgente. Buenas, escribo para reclamar por un problema con mi pedido.",1061
70,2025/02/11,Entrega tarde otra vez,cliente@gmail.com,Vicente López,Aguardo solución urgente. Muy mal servicio. No es la primera vez que pasa esto.,1062
71,20/01/25,MAL SERVICIO,cliente@gmail.com,Escobar,"Aguardo solución urgente. Buenas, escribo para reclamar por un problema con mi pedido. Espero una pronta respuesta. Muy mal servicio.",1063
72,"May 17, 2025",Reclamo por cobro,reclamos@hotmail.com,San Isidro,"Espero una pronta respuesta. Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto. Aguardo solución urgente.",1064
73,2025/04/21,Entrega tarde otra vez,cliente123@outlook.com,San Fernando,No es la primera vez que pasa esto. Espero una pronta respuesta. Muy mal servicio.,1065
74,"Apr 30, 2025",Servicio pésimo,reclamos@hotmail.com,San Martín,"Buenas, escribo para reclamar por un problema con mi pedido. Espero una pronta respuesta.",1066
75,"Mar 04, 2025",Demora nuevamente,cliente123@outlook.com,San Martín,Muy mal servicio. Espero una pronta respuesta.,1067
76,05/05/25,Pedido incompleto,reclamos@hotmail.com,Escobar,Espero una pronta respuesta. Aguardo solución urgente. Muy mal servicio.,1068
77,13/05/25,RECLAMO pedido no llego,cliente@gmail.com,Tigre,"Muy mal servicio. Aguardo solución urgente. Espero una pronta respuesta. Buenas, escribo para reclamar por un problema con mi pedido.",1069
78,"Jun 15, 2025",Servicio pésimo,cliente123@outlook.com,Vicente López,Espero una pronta respuesta. No es la primera vez que pasa esto.,1070
79,27/06/25,No recibí mi pedido,reclamos@hotmail.com,San Martín,Aguardo solución urgente. Espero una pronta respuesta. No es la primera vez que pasa esto.,1071
80,"Apr 01, 2025",Cobro incorrecto,reclamos@hotmail.com,Escobar,"No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido. Espero una pronta respuesta.",1072
81,2025-03-22 00:00,MAL SERVICIO,usuario@yahoo.com,Tigre,Muy mal servicio. Espero una pronta respuesta.,1073
82,26/01/25,Error en la factura,reclamos@hotmail.com,Tigre,"No es la primera vez que pasa esto. Espero una pronta respuesta. Buenas, escribo para reclamar por un problema con mi pedido.",1074
